fecha;Jornada;equipo_local;equipo_visitante;goles_local;goles_visitante;Hora;url_partido
21/03/2026;Apertura 8;Comerciantes Unidos;Universitario;0;0;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-universitario-de-deportes/fWsjxKb#id:15655436
20/03/2026;Apertura 8;ADT;Melgar;1;1;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-melgar/iWshlJc#id:15655700
20/03/2026;Apertura 8;Cienciano;Cajamarca;3;0;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-cienciano/bWscPHi#id:15655433
15/03/2026;Apertura 7;Sporting Cristal;Sport Boys;3;0;No;https://www.sofascore.com/es-la/football/match/sport-boys-cs-cristal/cWsmW#id:15607096
15/03/2026;Apertura 7;Melgar;Atlético Grau;0;0;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-melgar/iWsNanc#id:15607091
15/03/2026;Apertura 7;Alianza Atlético;Moquegua;3;0;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-alianza-atletico-de-sullana/hWsYgXd#id:15607097
15/03/2026;Apertura 7;Cusco;Cienciano;1;2;No;https://www.sofascore.com/es-la/football/match/cusco-fc-cienciano/bWskAA#id:15607098
14/03/2026;Apertura 7;Universitario;Cajamarca;2;0;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-universitario-de-deportes/fWsehK#id:15607094
14/03/2026;Apertura 7;Deportivo Garcilaso;Alianza Lima;1;1;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-alianza-lima/lWsJwId#id:15607092
14/03/2026;Apertura 7;Sport Huancayo;ADT;0;1;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-sport-huancayo/VCnshlJc#id:15607090
14/03/2026;Apertura 7;ADC Juan Pablo II;Los Chankas;2;3;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-los-chankas-cyc/eVacsgzee#id:15607095
13/03/2026;Apertura 7;Cajamarca;Comerciantes Unidos;3;4;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-comerciantes-unidos/jxKbscPHi#id:15607093
