fecha;equipo_local;equipo_visitante;goles_local;goles_visitante;url_partido;Posesión de pelota_local;Posesión de pelota_visitante;Goles esperados (xG)_local;Goles esperados (xG)_visitante;Tiros totales_local;Tiros totales_visitante;Tiros a puerta_local;Tiros a puerta_visitante;Disparos al palo_local;Disparos al palo_visitante;Tiros fuera_local;Tiros fuera_visitante;Tiros bloqueados_local;Tiros bloqueados_visitante;Tiros adentro del area_local;Tiros adentro del area_visitante;Tiros desde fuera del area_local;Tiros desde fuera del area_visitante;Fueras de juego_local;Fueras de juego_visitante;Pases_local;Pases_visitante;Pases precisos_local;Pases precisos_visitante;Saques de banda_local;Saques de banda_visitante;Pases al ultimo tercio_local;Pases al ultimo tercio_visitante;Pases en ultimo tercio_local;Pases en ultimo tercio_visitante;Entradas_local;Entradas_visitante;Intercepciones_local;Intercepciones_visitante;Recuperaciones_local;Recuperaciones_visitante;Despejes_local;Despejes_visitante;Corners_local;Corners_visitante;Faltas_local;Faltas_visitante;Tiros libres_local;Tiros libres_visitante;Tarjetas amarillas_local;Tarjetas amarillas_visitante;Tarjetas rojas_local;Tarjetas rojas_visitante;Atajadas_local;Atajadas_visitante;Saques de meta_local;Saques de meta_visitante
12/07/2024;Comercio;Los Chankas;1;2;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-union-comercio/GtuseVac#id:12473141;0.6;0.4;1.84;1.55;16;9;5;4;0;0;6;3;5;2;12;6;4;3;2;1;387;250;300;169;28;20;61;49;68/117;49/88;18;18;11;5;44;46;19;31;5;6;9;13;12;9;2;2;0;0;2;4;7;10
12/07/2024;ADT;Sporting Cristal;3;1;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-club-sporting-cristal/cWshlJc#id:12476403;0.54;0.46;1.58;1.12;17;11;8;5;0;0;7;6;2;0;11;8;6;3;0;2;395;333;338;275;18;14;60;43;114/145;61/86;18;20;13;7;48;47;12;25;5;2;11;14;14;11;1;3;0;0;4;6;8;11
12/07/2024;Deportivo Garcilaso;UTC;1;0;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-universidad-tecnica-de-cajamarca/ehKsJwId#id:12473137;0.62;0.38;1.6;1.9;17;14;5;5;0;0;11;5;1;4;12;8;5;6;1;0;360;227;300;162;19;26;68;31;103/134;43/63;5;13;12;5;35;32;18;41;15;5;11;13;12;10;2;3;0;0;4;4;10;13
27/05/2024;Comercio;Cienciano;1;1;https://www.sofascore.com/es-la/football/match/union-comercio-cienciano/bWsGtu#id:12274835;0.41;0.59;0.65;0.68;16;8;3;3;0;1;7;4;6;1;7;4;9;4;1;0;298;436;230;357;18;15;62;69;72/110;73/119;16;7;9;0;40;38;23;21;7;3;15;8;8;14;1;2;0;0;2;2;5;8
26/05/2024;Alianza Atlético;Mannucci;0;0;https://www.sofascore.com/es-la/football/match/carlos-mannucci-alianza-atletico-de-sullana/hWsVUac#id:12274834;0.6;0.4;1.59;0.28;24;7;4;1;1;0;18;3;2;3;14;5;10;2;3;2;426;282;328;186;18;16;81;52;111/164;49/84;10;16;8;7;55;44;15;33;6;1;9;18;18;8;2;4;0;0;1;4;6;24
26/05/2024;Sport Boys;ADT;1;0;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-sport-boys/mWshlJc#id:12274838;0.48;0.52;2.24;0.54;21;5;6;0;1;0;10;4;5;1;9;3;12;2;1;2;292;327;209;224;22;29;54;59;50/81;51/107;17;14;14;6;49;59;18;17;2;2;14;10;9;13;2;4;0;0;0;5;12;13
25/05/2024;Sport Huancayo;UTC;1;1;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-sport-huancayo/VCnsehK#id:12274846;0.57;0.43;0.9;1.58;13;10;5;4;0;2;3;6;5;0;5;4;8;6;3;0;415;328;366;274;27;13;56;56;81/117;65/94;14;16;11;9;32;36;16;19;10;4;9;18;17;9;2;2;0;0;3;4;5;12
25/05/2024;Comerciantes Unidos;Sporting Cristal;0;1;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-club-sporting-cristal/cWsjxKb#id:12274840;0.52;0.48;0.54;1.27;12;18;1;2;0;0;8;13;3;3;6;8;6;10;1;1;280;240;183;136;29;28;49;73;30/73;40/101;14;28;8;7;48;45;29;11;4;6;17;11;11;17;4;2;0;0;1;1;22;11
25/05/2024;Deportivo Garcilaso;Melgar;1;3;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-melgar/iWsJwId#id:12274843;0.39;0.61;1.05;1.52;12;13;7;10;0;1;4;2;1;1;7;8;5;5;2;6;230;375;163;300;24;32;37;50;48/74;70/106;11;14;11;7;35;37;19;16;5;4;10;7;7;10;3;1;0;0;7;6;3;7
25/05/2024;Universitario;Los Chankas;4;0;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-universitario/fWseVac#id:12274849;0.47;0.53;2.32;0.82;18;9;8;2;1;0;7;4;3;3;13;3;5;6;0;2;348;407;269;315;13;24;69;72;76/123;83/125;19;14;16;10;73;59;16;19;9;2;11;12;12;11;0;2;1;0;2;4;5;15
24/05/2024;Cusco;Alianza Lima;3;0;https://www.sofascore.com/es-la/football/match/cusco-fc-alianza-lima/lWskAA#id:12274837;0.44;0.56;1.17;0.51;13;8;6;1;1;0;6;4;1;3;5;3;8;5;5;2;328;407;261;331;17;26;34;62;40/57;54/99;10;11;12;4;39;37;23;5;4;10;16;8;8;14;4;1;0;0;1;3;11;7
24/05/2024;César Vallejo;Atlético Grau;2;1;https://www.sofascore.com/es-la/football/match/club-atletico-grau-universidad-cesar-vallejo/GfcsNanc#id:12274842;0.53;0.47;1.66;1.69;13;13;3;4;0;0;7;9;3;0;11;11;2;2;2;2;373;328;280;240;24;21;51;64;56/92;68/103;9;14;3;14;47;45;16;25;6;5;11;7;6;11;2;1;0;0;3;0;7;9
20/05/2024;UTC;Sport Boys;2;4;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-sport-boys/mWsehK#id:12274844;0.55;0.45;1.43;1.33;16;10;6;5;1;1;6;2;4;3;12;4;4;6;1;3;342;309;269;227;28;23;67;56;87/124;29/67;6;14;7;11;49;46;15;37;10;0;13;19;19;12;0;3;0;0;1;4;2;7
20/05/2024;Cienciano;Universitario;0;0;https://www.sofascore.com/es-la/football/match/universitario-cienciano/bWsfW#id:12298590;0.58;0.42;0.56;1.54;12;19;2;4;0;1;8;12;2;3;4;9;8;10;1;2;425;292;342;217;21;22;67;75;56/94;72/109;11;9;8;10;41;43;19;9;5;3;13;9;7;10;3;3;0;0;4;2;19;12
19/05/2024;ADT;Comerciantes Unidos;2;0;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-comerciantes-unidos/jxKbshlJc#id:12274850;0.54;0.46;2.42;0.88;20;8;6;1;1;0;8;5;6;2;13;4;7;4;0;2;389;337;332;278;24;17;54;41;98/129;43/72;21;16;7;19;49;53;12;27;9;3;12;8;7;12;1;1;0;0;1;4;8;13
19/05/2024;Los Chankas;Alianza Atlético;2;0;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-alianza-atletico-de-sullana/hWseVac#id:12274847;0.65;0.35;0.69;0.58;8;11;3;4;0;0;5;6;0;1;5;4;3;7;1;2;363;197;264;114;21;19;72;62;65/123;32/85;10;1;8;11;35;39;12;23;6;7;9;14;14;8;2;3;0;0;4;1;12;18
19/05/2024;Mannucci;César Vallejo;0;0;https://www.sofascore.com/es-la/football/match/carlos-mannucci-universidad-cesar-vallejo/GfcsVUac#id:12274841;0.34;0.66;1.32;0.53;15;11;3;5;1;0;9;3;3;3;10;3;5;8;2;3;223;483;153;413;20;23;52;53;41/77;75/108;16;13;14;11;53;51;22;26;8;6;12;8;8;12;1;3;0;0;5;3;11;8
19/05/2024;Alianza Lima;Deportivo Garcilaso;3;2;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-alianza-lima/lWsJwId#id:12274833;0.64;0.36;3.02;0.6;13;10;9;4;0;0;1;4;3;2;11;3;2;7;5;1;405;240;342;173;15;20;66;44;101/143;35/64;11;6;8;11;46;32;5;20;11;0;16;15;13;16;5;1;1;1;2;6;3;2
18/05/2024;Sporting Cristal;Comercio;5;1;https://www.sofascore.com/es-la/football/match/union-comercio-club-sporting-cristal/cWsGtu#id:12274845;0.57;0.43;2;1.21;22;9;7;3;0;0;9;4;6;2;16;4;6;5;2;2;496;390;404;309;19;16;71;43;90/137;29/57;14;19;6;12;57;62;7;25;8;3;4;14;11;4;0;2;0;0;2;2;7;13
18/05/2024;Melgar;Sport Huancayo;4;1;https://www.sofascore.com/es-la/football/match/sport-huancayo-melgar/iWsVCn#id:12274848;0.52;0.48;2.4;0.27;27;12;8;2;1;0;14;5;5;5;15;3;12;9;0;2;468;429;408;360;18;17;76;51;132/177;65/90;25;14;8;10;51;36;9;14;7;2;11;5;5;11;2;3;0;0;2;4;7;21
17/05/2024;Atlético Grau;Cusco;4;0;https://www.sofascore.com/es-la/football/match/club-atletico-grau-cusco-fc/kAAsNanc#id:12274836;0.41;0.59;2.58;0.65;16;10;11;1;0;0;4;4;1;5;12;5;4;5;3;2;320;460;243;378;19;22;42;60;56/85;84/117;14;11;17;16;67;56;21;5;4;0;12;9;9;12;2;1;0;0;1;7;8;7
13/05/2024;Alianza Atlético;Cienciano;0;1;https://www.sofascore.com/es-la/football/match/alianza-atletico-de-sullana-cienciano/bWshW#id:12327690;0.56;0.44;2.29;0.88;19;7;2;2;2;2;12;3;5;2;10;4;9;3;2;2;305;252;236;184;18;19;66;41;0;0;10;12;10;7;53;36;11;25;5;2;21;11;10;21;2;6;0;0;1;2;7;14
12/05/2024;UTC;Melgar;2;6;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-melgar/iWsehK#id:12244373;0.57;0.43;0.77;2.51;10;15;3;8;0;1;3;5;4;2;5;9;5;6;0;3;403;307;327;218;12;17;73;46;0;0;10;20;9;8;49;50;9;11;6;5;6;11;11;6;1;3;0;0;2;1;7;10
12/05/2024;Deportivo Garcilaso;Atlético Grau;0;0;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-club-atletico-grau/NancsJwId#id:12244371;0.54;0.46;1.68;0.84;24;12;7;3;2;0;11;7;6;2;14;6;10;6;3;2;360;323;289;239;22;26;65;72;0;0;13;10;8;6;53;49;17;24;7;4;9;12;12;9;1;2;0;0;3;7;11;11
12/05/2024;Universitario;Sporting Cristal;4;1;https://www.sofascore.com/es-la/football/match/universitario-club-sporting-cristal/cWsfW#id:12244374;0.55;0.45;1.76;0.41;22;11;9;4;1;0;5;3;8;4;11;4;11;7;1;1;363;301;311;237;20;17;61;45;91/119;46/75;20;17;4;6;44;46;17;23;7;5;7;8;8;7;1;1;0;0;3;5;4;7
11/05/2024;Sport Boys;Comerciantes Unidos;1;1;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-sport-boys/mWsjxKb#id:12244384;0.36;0.64;0.6;1.34;13;10;3;5;0;0;5;3;5;2;5;6;8;4;3;2;261;460;182;390;16;14;57;58;49/93;54/93;25;21;3;7;52;61;11;16;4;2;9;21;20;9;2;3;1;0;4;2;5;4
11/05/2024;Cusco;Mannucci;3;0;https://www.sofascore.com/es-la/football/match/carlos-mannucci-cusco-fc/kAAsVUac#id:12244369;0.58;0.42;2.02;0.31;20;11;6;2;0;0;11;6;3;3;15;3;5;8;2;0;435;314;372;260;27;20;47;37;0;0;6;7;11;12;41;29;7;16;7;4;9;10;9;9;0;1;0;0;2;3;8;16
11/05/2024;Sport Huancayo;Alianza Lima;0;2;https://www.sofascore.com/es-la/football/match/sport-huancayo-alianza-lima/lWsVCn#id:12244370;0.55;0.45;0.31;1.85;7;7;4;5;0;0;1;2;2;0;4;4;3;3;4;0;442;364;386;299;26;16;71;63;0;0;12;26;10;3;35;40;6;12;4;2;11;22;22;10;1;3;0;1;3;4;6;7
11/05/2024;César Vallejo;Los Chankas;1;1;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-universidad-cesar-vallejo/GfcseVac#id:12244375;0.61;0.39;1.38;1.27;19;9;10;3;1;1;5;5;4;1;12;6;7;3;1;0;387;245;316;156;34;16;56;62;0;0;10;24;12;7;47;52;11;28;8;9;12;10;8;12;2;2;0;0;2;9;7;7
10/05/2024;Comercio;ADT;2;2;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-union-comercio/GtushlJc#id:12244372;0.42;0.58;1.45;1.17;7;9;3;6;0;1;3;3;1;0;5;5;2;4;5;1;306;430;233;351;11;16;46;68;0;0;18;16;13;9;57;57;25;11;8;5;10;12;12;9;1;4;0;0;4;1;3;7
6/05/2024;Atlético Grau;Sport Huancayo;0;0;https://www.sofascore.com/es-la/football/match/club-atletico-grau-sport-huancayo/VCnsNanc#id:12244383;0.7;0.3;0.41;0.39;9;5;5;1;0;0;3;4;1;0;5;2;4;3;0;3;586;262;505;176;18;8;83;41;0;0;5;19;6;10;50;48;8;26;10;1;16;6;5;14;5;3;0;0;1;5;5;13
5/05/2024;Sporting Cristal;Alianza Atlético;2;1;https://www.sofascore.com/es-la/football/match/alianza-atletico-de-sullana-club-sporting-cristal/cWshW#id:12244376;0.52;0.48;2.47;2.85;12;13;7;3;0;1;2;8;3;2;10;7;2;6;6;1;298;291;218;212;22;14;51;45;0;0;10;16;12;12;44;42;12;25;6;4;6;17;17;6;0;5;0;0;2;5;5;5
5/05/2024;Melgar;Sport Boys;2;1;https://www.sofascore.com/es-la/football/match/sport-boys-melgar/iWsmW#id:12244380;0.4;0.6;1.42;0.44;16;12;7;3;1;0;8;6;1;3;11;4;5;8;1;0;232;371;161;292;20;16;51;61;0;0;8;9;10;10;40;29;11;12;6;1;9;16;16;9;0;4;1;0;2;5;13;12
4/05/2024;Los Chankas;Cusco;2;0;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-cusco-fc/kAAseVac#id:12244385;0.41;0.59;1.41;0.87;19;14;6;1;0;1;7;4;6;9;10;6;9;8;3;1;254;387;198;316;21;25;60;54;0;0;14;12;3;7;47;41;31;30;10;4;13;8;8;13;3;2;0;0;1;4;9;10
4/05/2024;Mannucci;Deportivo Garcilaso;1;1;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-carlos-mannucci/VUacsJwId#id:12244379;0.55;0.45;1.15;0.91;11;12;2;4;0;0;6;5;3;3;6;7;5;5;2;1;340;274;247;180;24;33;59;63;0;0;4;26;5;12;56;42;21;26;5;9;12;11;11;11;1;4;0;0;2;1;12;9
4/05/2024;Comerciantes Unidos;Comercio;3;1;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-union-comercio/GtusjxKb#id:12244382;0.6;0.4;1.31;1.29;14;12;5;3;0;0;7;4;2;5;6;7;8;5;0;0;411;267;355;195;19;19;52;46;65/89;53/89;6;18;13;10;50;35;18;8;3;6;12;8;7;12;2;3;0;1;2;2;7;13
3/05/2024;ADT;Universitario;2;0;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-universitario/fWshlJc#id:12244377;0.6;0.4;1.94;0.73;16;13;4;2;0;0;6;8;6;3;6;9;10;4;2;1;504;310;417;223;13;26;69;58;104/152;63/100;9;21;11;14;63;55;23;10;2;7;14;9;6;12;2;1;0;0;2;2;15;13
3/05/2024;Cienciano;César Vallejo;1;1;https://www.sofascore.com/es-la/football/match/universidad-cesar-vallejo-cienciano/bWsGfc#id:12269782;0.61;0.39;1.01;0.93;22;13;9;4;0;0;8;7;5;2;13;4;9;9;0;1;523;351;470;288;24;19;76;41;0;0;18;12;7;8;41;38;14;35;10;1;9;13;13;7;3;3;0;0;3;8;11;16
